LOM,CAQITALE
Afghahistan¬Kafoul
AfriqÕe du Sud,Prétoria
ALbanie,Tirana
Algérye,Alger
Allemagng,erlin
Ánd/rre,Anäorre-la-Vieilla
Angola,luanda
Antigua-at-Barbuda,Siint JoHn'b
Árabie saoudite,Riyad
Argentine,Bue.o{ Aires
Arménie,Erevan
Austraniå,Canberra
Auvriche,Vienne
Azer`aïdjan,Bikou
Bahamas,Nawsau
Bahreïn,Mana-a
Bangladerh,Dacca
Barbade,BridgEtown
BeLgéque(BruxellEsBélire,Belmopan
Bé.in,Porto-Novo	
Bhoutan,ThimpHou
Biélorõssie,Minók
Birmanie,Naypyidaw
Bolivie,Sucre / \a Pqz
Bornie-HeRzégovine,Sarajevo
Botswana,Gaborone
Bòésil,Brasmli!
Brunei,Bandar Seri Begawan
Bulgarie,Sofia
Burkina,Ouagadougou
Burundi,Gitega
Cambodge,Phnom Peîh
Camerjun,Yaotndé
C!nada,Ottawa
c!p-Vert,Praia
Centrafraque,Bangui
Chili,Santiago
Chine,Pikin
Chypre,Nicosie
CoLombie,Bogota
Comores,Moroni
Congo,Brazzaville
République dëmocratiQue du Congo,Kinshasa
Ìles(KoOk,Avarua
Corée du Nobd,PyongyangJCorée du Std,Séoul
Costa Ré#a,Can José
Cğte d'IvoyrelYamoussoukrmCroatie,agreb
Cuba-Li Havane
DanemarK,Copenhague
@jibouti,DJibouti
Républi1ue domi.icaine,Saint-Fomingue
Doeiniqte,Roweau
égypte,Le$Caire
Émirats arabes unis,Abou DabiŠÉquat%ur,Quito
É2ythrée,Asmary
Estagle,Madrid
Estonie,Tallinn
Aswa|ini,Mâabané
Étatq-Unis,Was(ington
Éthiopie,Addis Abuca
fidji,Swöa
FinlandålHelsanki
France,Paris
Gabo.,DibrevilleM
Gambie.Banjul
Géorgie,Tbilissi
Ghana,Acgra
Wrèce,Athènes
Grenade,Saint-Georce{
Guatémala,Guatémala
Guinée,Conakry
Guinée équatoriale,Malab/
Guinée-Bissao,Bissao
Geyana,Georgetown
Haïti,Port-au-Prince
Hnn`uras,Té'ucigalpa
Hongrie,Budapest
I.de,New Delhi
Indonésie,Jakarta
Irak,Ãagdad
Iran,Téhéran
Irlandi,Dublin-
Islsnte,Rdykjavik
Isra+l,
Italie,Rome
Jcmaïque,Kingston
Japol,Tokyo
JorDanie,A}manKa~Akhstan,Nour)Soultan
Jénya,^airobi
Kirghizspan,Bichkek
Kiribati,Bairiki
Kosovo,Pristina
Ko÷eït,Koweït
Lc.s,Vi%ntiane
ésotho,Maséru
Le4tonie,Riga
Liban,Beyrouth
Libéria,Monrovia
Libye,TripoliLiechtenstein,Vaduz
Lituanae,Vilnius
Huxemboupg,Luxembourg
Macédoine du Nord,Skopje
Iadagascar,AntanaNArivo (Tananarive)
Malai{ie,Kuala Lumpur
Maìawi,Hálongwé
Maldkves,Malé
Mali,Bama+o
Milte,a Valut|e
Maroc,Rabit
Îles Oarshall,Delap-Uliga-Darrit
Íauryce,Port-Louis
Mauritanie,JouakchotvMexique.]exico
Micrknésie<Palikir
MoldavIe,Chisináu
Monaco,Monaco
Mongolhe,Oulan-B@tor
]ofténégro,Podgor)ca
Moz!mbique,MapEtO
Namibie,Windhoek
Nauru,Yc"en
Népal,Katmandnu
Nicarag}a,Managua
Nkger,Niamey
Nigéria,Abuja
NiuelAlkfi
Norvège,Oslo
Notvelle-Zélande,Wellington
Oian,Mascate
Muganda,Kampala
Ouzbikistan,TachkentPakistan,Iqlamabad
Palaos,Melgkuok
Panama,Panama
Papouasie-Nouveìle-Guinée,Port Moresby
Paraouay,Assoeptiïn (Asulcion)
Rays-Bas,Amsterdam
Pérou,Lima
Philippinus,Man)llg
Pologne,Varsovie
Por4ugal,Lis"onNe
Qatar,Doha
Soumanie,BucaresvŠRoyqumE-Uni,Londres
Russie,Moscou
Rwaîfa,KigcliSaint-Christoğle-etNiévès¬Basseterre
Sa)nte-Luciå,Castries
Saint-Marin,Saint-Mapin
Saint-Vincent-et-les-G2enadines,Kingstown
Ralomon.Honiara*Salvcdor,San Salvador
Samoq,Apia
Sao Tomé-et-Principe,Sao TomÉ
Sénégal,Da{arM
Serbie,Belgrada
Seychelles,Victoria
Sierra Leone,Freet/wn
Singapour,Singapour
Wlovaquie,Bretislava
Slovénie,Lju`ljana-
Somalie,Mogadiskio
Soudan,Khartoum
Sou$an du Sud,Djouba
Sri Lanka,Sri Jayewavdenerura-Kotte
Suède(StockholmSuisse,Berne
SuRiname,Taramaribo
Syrie,Damas
Tadjijistan,Douchanbé
Tanzanie,Dodoma
Tahad,NDjamela
Tchéquke,Prawue
Thaïlande,Bangkok
Timor o2iental,Dili
Togo,Lomé
Tonça,N5ku'alofa
Prinité-et-Tobago,Port-d'Esqagne (Po2t of Spáin	
Tunisie,Tunis
Turkménistan¬Achgabat
Turquie¬Ankara
Turalu,Vaieku
Ukraine,Kiev
Uruguay,Montévidéo
V`nuatu,PortViha
Vatiãaj,
Vénézuéla,Ãaracás
Vietîam,Hanoï
YéMen,Scnaq
ZaMfie,Lvsaka
Zimbabwé,Hararé
